epoch,accuracy,loss,val_accuracy,val_loss
0,72.88555102964472,0.20194760420424795,90.38270377733599,0.1301621704616456
1,91.64262276533152,0.09875082367625232,93.67544731610337,0.10057934609259836
2,93.55623444218149,0.07981039190310399,93.08730947647449,0.10143549603281538
3,94.35675492192804,0.07154521536403219,93.389662027833,0.09754815246257807
4,94.70044127630686,0.06741239167315728,94.06891981444666,0.08994599517689499
5,95.11201629327903,0.06395416401586305,94.98426110006626,0.08101290362375829
6,95.4316587463227,0.060974473669631,94.39198144466535,0.08679176372042509
7,95.5745078071962,0.05923208372050344,93.84111994698476,0.09014661226368671
8,95.94223806291016,0.05742731783359916,92.37077534791253,0.11641857005704213
9,96.11195971939352,0.0558548903347333,93.74171636845593,0.10035407889301944
10,96.27460964019009,0.05482266176629809,93.0044731610338,0.11533342360926906
11,96.56879384476126,0.053379199496999596,92.57372432074222,0.11804124702839659
12,96.62678207739307,0.05223577529831399,90.29986746189529,0.14210574823487063
13,96.7173002941842,0.050802931681647984,93.67544731610337,0.10953407732692237
14,96.959153654673,0.04974945048643746,92.05599734923791,0.12627690957333862
15,97.05391491287622,0.04854852707447911,93.45593108018555,0.11037923693435894
16,97.12887531115636,0.047128990960112895,90.88800530152419,0.13967581552474864
17,97.21797918081013,0.046268031600159666,82.17362491716368,0.21747365153182946
18,97.23353699932112,0.04580418900048188,88.18339960238569,0.17150589651825085
19,97.28021045485404,0.04461502341790035,87.57869449966866,0.17339809262972927
20,97.43295994568906,0.04335059304939784,90.29572564612326,0.15731816394676176
21,97.5050916496945,0.0425202685448759,84.77468522200132,0.21403423012289816
22,97.50084860828241,0.04157067975471933,82.97713717693837,0.23226610321045937
23,97.65501244625482,0.04060510981850736,87.11066931742876,0.19459689891980617
24,97.6592554876669,0.039262186487073185,82.64579191517561,0.22589718377197746
25,97.8021045485404,0.03807741787036344,81.31626905235255,0.25569235857926687
26,97.74553066304594,0.03745278571736557,81.74701789264414,0.24845838594333547
27,97.8897940710568,0.0362612992361977,84.26938369781313,0.2056383304723006
